ward,area,income,1LDK,2LDK,taikijidou,taikiritsu,shingakuritsu,park_num,park_m2,annual_criminal,kyouaku,sobou,settou,sagi
港区,都心,"1,184",17.5,24.5,"1,584",2.92,74,118,1407023,2228,23,316,1296,214
千代田区,都心,985,16.7,23.8,248,1.79,79.5,51,1709389,1856,16,174,1096,300
渋谷区,副都心,911,16.2,22.1,"1,313",3.44,81,133,1644144,2932,24,289,1827,231
中央区,都心,712,14.3,18.6,"1,428",3.82,72.7,95,627977,3156,11,128,793,2001
目黒区,西部,638,13.5,17.5,"1,238",2.56,72.3,133,490114,1417,6,110,893,145
文京区,副都心,624,13.2,17,"1,297",2.81,77.7,115,553078,808,4,89,481,102
世田谷区,西部,572,11.6,14.9,"4,717",3.84,72.4,571,2886819,3973,27,282,2555,366
新宿区,副都心,561,14.3,19.1,"1,519",3.1,76,183,1147113,4421,48,508,2824,307
品川区,西部,517,13.1,16.9,"2,375",3.25,72.5,281,1369635,1818,11,147,1194,175
杉並区,西部,478,10.9,13.8,"2,812",3.33,76.7,337,1227876,2041,20,134,1349,162
豊島区,副都心,465,12.1,15.7,"1,087",2.53,74,154,233106,3191,39,334,2197,194
江東区,東部,462,11.9,15.2,"3,739",4.59,62.5,316,5165650,2537,21,202,1695,201
台東区,東部,446,12.4,15.6,"1,037",3.81,58.8,75,773676,2354,24,248,1558,180
大田区,西部,444,10.8,13.6,"4,176",4.58,57.4,563,2964476,3361,21,253,2339,237
中野区,西部,432,11.2,13.8,"1,659",3.32,69.7,200,492391,1843,18,152,1198,134
練馬区,西部,429,9.2,11.4,"3,868",3.67,62.2,698,2137966,2819,17,153,2034,161
墨田区,東部,405,11.5,14.4,"1,465",3.22,71.3,146,782267,1817,24,178,1219,129
北区,西部,389,10.4,13.1,"1,664",3,73.6,191,1079288,2005,22,219,1210,246
荒川区,東部,387,10.4,13,"1,168",3.77,44,111,452178,1078,10,94,745,69
江戸川区,東部,378,8.4,10.3,"4,206",8.31,63.1,511,7810932,3369,21,220,2307,231
板橋区,西部,377,9.3,11.4,"2,328",2.76,71.6,357,1946979,2563,20,156,1688,221
足立区,東部,357,8.3,10.1,"3,211",3.84,42.2,518,3268442,3212,22,289,2177,167
葛飾区,東部,356,8,9.6,"1,911",2.78,45.8,329,2015475,2290,18,228,1417,195
